antecedents,consequents
"frozenset({'T-Shirt', 'pick up the phone'})","frozenset({'X (feat. Future)', 'Congratulations', 'HUMBLE.', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
frozenset({'T-Shirt'}),"frozenset({'I Like The Sound Of That', 'Wagon Wheel', 'Snapback', 'Play It Again', ""Don't It"", 'Leave The Night On', 'Middle of a Memory', 'Get Me Some Of That', 'Portland', 'May We All', 'Fake Love', 'Money Longer', 'Craving You', 'Springsteen', 'H.O.L.Y.', 'Homegrown', 'Mask Off', 'Butterfly Effect', 'Star Of The Show', 'Dirt', 'American Country Love Song', 'iSpy (feat. Lil Yachty)', 'Crash And Burn', 'Barefoot Blue Jean Night', 'John Cougar, John Deere, John 3:16', 'You Was Right', 'Caroline', 'Anything Goes', 'Loving You Easy', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Break Up In A Small Town', 'Love You Like That', 'Both (feat. Drake)', 'This Is How We Roll', 'Bank Account', 'Die A Happy Man', 'Kick The Dust Up', 'Get Right Witcha', 'No Heart', 'Bounce Back', 'Head Over Boots', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)', 'X (feat. Future)', 'Congratulations', 'Gonna Wanna Tonight', 'Drunk On Your Love', 'Song for Another Time', 'Let Me See Ya Girl', 'House Party', 'Rolex', 'Tunnel Vision', 'Backroad Song', 'Drunk On A Plane', ""It Don't Hurt Like It Used To"", 'goosebumps', 'Confession', 'rockstar', 'DNA.', 'Moves', 'Make You Miss Me', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Take Your Time', 'pick up the phone', 'Make Me Wanna', 'Hurricane', 'Chicken Fried', 'Sleep Without You', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Stay A Little Longer', 'Swang', 'Body Like A Back Road', ""I'm Comin' Over"", ""That's My Kind Of Night"", 'Break Up with Him', 'Sunshine & Whiskey', 'Unforgettable', 'Somewhere On A Beach', 'Drowning (feat. Kodak Black)', 'HUMBLE.', 'It Goes Like This', 'Deja Vu', 'One Night', 'Magnolia'})"
frozenset({'Take Your Time'}),"frozenset({'Wagon Wheel', 'Play It Again', 'Crash And Burn', 'Leave The Night On', 'Barefoot Blue Jean Night', 'Make You Miss Me', 'T-Shirt', 'Chicken Fried', 'House Party', 'Break Up In A Small Town', 'Body Like A Back Road', ""I'm Comin' Over"", 'Love You Like That', 'H.O.L.Y.', 'This Is How We Roll', 'Drunk On A Plane', 'Die A Happy Man', 'Homegrown', 'Dirt'})"
frozenset({'Talladega'}),"frozenset({'Springsteen', 'Play It Again', 'Crash And Burn', ""Don't It"", 'Leave The Night On', 'Barefoot Blue Jean Night', 'This Is How We Roll', 'Die A Happy Man', 'Chicken Fried', 'House Party', 'Dirt'})"
frozenset({'The Hills'}),"frozenset({'679 (feat. Remy Boyz)', 'Jumpman', 'Antidote', 'Hotline Bling', 'White Iverson', ""Can't Feel My Face"", 'Trap Queen', 'No Role Modelz', 'One Dance'})"
frozenset({'The Motto'}),frozenset({'Ni**as In Paris'})
frozenset({'This Could Be Us'}),"frozenset({'Jumpman', 'Broccoli (feat. Lil Yachty)', 'Antidote', 'Come Get Her', 'No Type', 'No Role Modelz'})"
"frozenset({'This Is How We Roll', ""That's My Kind Of Night""})",frozenset({'Play It Again'})
"frozenset({'This Is How We Roll', 'Barefoot Blue Jean Night'})","frozenset({'Leave The Night On', 'Play It Again'})"
"frozenset({'This Is How We Roll', 'Crash And Burn'})","frozenset({'Leave The Night On', 'House Party', 'Play It Again', 'Die A Happy Man'})"
"frozenset({'This Is How We Roll', 'House Party'})","frozenset({'Leave The Night On', 'Play It Again', 'Crash And Burn', 'Die A Happy Man'})"
"frozenset({'This Is How We Roll', 'Leave The Night On'})","frozenset({'Play It Again', 'Crash And Burn', 'House Party', 'Barefoot Blue Jean Night', 'Die A Happy Man'})"
"frozenset({'This Is How We Roll', 'Play It Again'})","frozenset({'House Party', 'Crash And Burn', ""That's My Kind Of Night"", 'Leave The Night On', 'Barefoot Blue Jean Night', 'Die A Happy Man'})"
frozenset({'This Is How We Roll'}),"frozenset({'I Like The Sound Of That', 'Sun Daze', 'Wagon Wheel', 'Play It Again', ""Don't It"", 'Leave The Night On', 'Get Me Some Of That', 'T-Shirt', 'Let Me See Ya Girl', 'May We All', 'House Party', 'Sippin’ On Fire', 'Get Your Shine On', 'Springsteen', 'H.O.L.Y.', 'Ready Set Roll', 'Drunk On A Plane', 'Homegrown', 'Talladega', 'Confession', 'Dirt', 'Crash And Burn', 'Barefoot Blue Jean Night', 'Dirt Road Anthem', 'Cruise', ""Runnin' Outta Moonlight"", 'Take Your Time', 'Make Me Wanna', 'Make You Miss Me', 'Anything Goes', 'Chicken Fried', 'Country Girl (Shake It For Me)', 'Stay A Little Longer', 'Break Up In A Small Town', 'Body Like A Back Road', ""That's My Kind Of Night"", ""I'm Comin' Over"", 'Love You Like That', 'Somewhere On A Beach', 'Die A Happy Man', 'Round Here', 'It Goes Like This', 'Kick The Dust Up', 'Knee Deep (feat. Jimmy Buffett)'})"
frozenset({'This Is What You Came For'}),"frozenset({""Don't Let Me Down"", 'One Dance', 'Closer'})"
frozenset({'Throw Sum Mo'}),"frozenset({'Jumpman', 'Come Get Her', 'No Type'})"
frozenset({'TiK ToK'}),"frozenset({'Hollaback Girl', 'Whatcha Say', 'Replay', 'California Gurls - feat. Snoop Dogg', 'Dynamite', 'Umbrella', 'Promiscuous', 'Party In The U.S.A.', 'Low (feat T-Pain) - Feat T-Pain Album Version', 'Yeah!'})"
frozenset({'Tipsy - Club Mix'}),"frozenset({'Gold Digger', 'Ignition - Remix'})"
"frozenset({'Toes', 'Knee Deep (feat. Jimmy Buffett)'})",frozenset({'Chicken Fried'})
frozenset({'Toes'}),"frozenset({'Wagon Wheel', 'Play It Again', 'Knee Deep (feat. Jimmy Buffett)', 'Chicken Fried', 'House Party', 'Barefoot Blue Jean Night', 'Homegrown'})"
"frozenset({'Too Good', 'Controlla'})",frozenset({'One Dance'})
"frozenset({'Too Good', 'Needed Me'})",frozenset({'One Dance'})
frozenset({'Too Good'}),"frozenset({'Jumpman', 'Needed Me', 'Controlla', 'Pop Style', 'Low Life', 'No Role Modelz', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Caroline', 'Fake Love', 'Bounce Back', 'Famous', 'Bad and Boujee (feat. Lil Uzi Vert)', 'One Dance', 'Black Beatles', 'Broccoli (feat. Lil Yachty)'})"
frozenset({'Toxic'}),frozenset({'Hollaback Girl'})
frozenset({'Trap Queen'}),"frozenset({""I Don't Fuck With You"", 'Hotline Bling', 'Back To Back', ""Can't Feel My Face"", 'Post To Be (feat. Chris Brown & Jhene Aiko)', 'No Role Modelz', 'Black Beatles', 'Energy', 'Broccoli (feat. Lil Yachty)', '679 (feat. Remy Boyz)', 'Jumpman', 'Antidote', 'The Hills', ""F**kin' Problems"", 'White Iverson', 'No Type', 'No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version', 'Again', 'Flex (Ooh, Ooh, Ooh)', 'Panda', 'Come Get Her', 'One Dance', 'My Way (feat. Monty)'})"
frozenset({'Truffle Butter'}),frozenset({'Jumpman'})
"frozenset({'Tunnel Vision', 'Bounce Back', 'Slippery (feat. Gucci Mane)'})",frozenset({'Mask Off'})
"frozenset({'Tunnel Vision', 'HUMBLE.', 'Mask Off'})","frozenset({'T-Shirt', 'Congratulations', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Tunnel Vision', 'HUMBLE.', 'goosebumps'})",frozenset({'XO TOUR Llif3'})
"frozenset({'Tunnel Vision', 'Money Longer'})","frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})"
"frozenset({'Tunnel Vision', 'Swang'})","frozenset({'Congratulations', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})"
frozenset({'Tunnel Vision'}),"frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Butterfly Effect', 'DNA.', 'rockstar', 'Portland', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'No Role Modelz', 'pick up the phone', 'Caroline', 'Fake Love', 'Money Longer', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Rolex', 'Low Life', 'Unforgettable', 'Both (feat. Drake)', 'Drowning (feat. Kodak Black)', 'White Iverson', 'Bank Account', 'Chill Bill', 'HUMBLE.', 'Deja Vu', 'Mask Off', 'No Heart', 'Bounce Back', 'goosebumps', 'Magnolia', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
frozenset({'Uber Everywhere'}),"frozenset({'Jumpman', 'No Role Modelz', 'Caroline', 'Low Life', 'Money Longer', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Broccoli (feat. Lil Yachty)', 'No Problem (feat. Lil Wayne & 2 Chainz)'})"
frozenset({'Umbrella'}),"frozenset({'Hollaback Girl', 'Replay', 'Yeah!', 'Promiscuous', 'TiK ToK'})"
"frozenset({'Unforgettable', 'Bad and Boujee (feat. Lil Uzi Vert)'})",frozenset({'HUMBLE.'})
"frozenset({'Unforgettable', 'Bounce Back'})",frozenset({'HUMBLE.'})
"frozenset({'Unforgettable', 'HUMBLE.'})","frozenset({'Congratulations', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})"
"frozenset({'Unforgettable', 'Mask Off'})","frozenset({'HUMBLE.', 'Congratulations', 'XO TOUR Llif3'})"
"frozenset({'Unforgettable', 'XO TOUR Llif3'})","frozenset({'HUMBLE.', 'Congratulations', 'Mask Off'})"
"frozenset({'Unforgettable', 'goosebumps'})","frozenset({'HUMBLE.', 'Congratulations'})"
frozenset({'Unforgettable'}),"frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'rockstar', 'Tunnel Vision', ""I'm the One"", 'Fake Love', 'Bank Account', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Butterfly Effect', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
frozenset({'V. 3005'}),"frozenset({'IV. sweatpants', 'Broccoli (feat. Lil Yachty)', 'HUMBLE.', 'No Role Modelz', 'No Problem (feat. Lil Wayne & 2 Chainz)'})"
"frozenset({'Wagon Wheel', 'Chicken Fried'})","frozenset({'Barefoot Blue Jean Night', 'Knee Deep (feat. Jimmy Buffett)'})"
"frozenset({'Wagon Wheel', 'Knee Deep (feat. Jimmy Buffett)'})",frozenset({'Chicken Fried'})
frozenset({'Wagon Wheel'}),"frozenset({'Play It Again', 'Crash And Burn', 'Leave The Night On', 'Barefoot Blue Jean Night', 'Dirt Road Anthem', 'Cruise', ""Runnin' Outta Moonlight"", 'Take Your Time', 'T-Shirt', 'Chicken Fried', 'Toes', 'House Party', 'Springsteen', 'Body Like A Back Road', ""That's My Kind Of Night"", 'Sunshine & Whiskey', 'H.O.L.Y.', 'This Is How We Roll', 'Drunk On A Plane', 'Homegrown', 'Die A Happy Man', 'Round Here', 'Knee Deep (feat. Jimmy Buffett)'})"
frozenset({'Waves'}),"frozenset({'Father Stretch My Hands Pt. 1', 'Famous', 'One Dance', 'Broccoli (feat. Lil Yachty)', 'No Problem (feat. Lil Wayne & 2 Chainz)'})"
frozenset({'We Dem Boyz'}),frozenset({'Jumpman'})
"frozenset({'Wet Dreamz', 'G.O.M.D.'})",frozenset({'No Role Modelz'})
"frozenset({'Wet Dreamz', 'No Role Modelz'})",frozenset({'G.O.M.D.'})
frozenset({'Wet Dreamz'}),"frozenset({'Jumpman', 'Antidote', 'Low Life', 'White Iverson', 'G.O.M.D.', 'No Role Modelz', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'HUMBLE.', 'Caroline', 'Fake Love', 'Broccoli (feat. Lil Yachty)'})"
frozenset({'What Do You Mean?'}),"frozenset({'Love Yourself', 'Sorry'})"
frozenset({'What They Want'}),"frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Caroline', 'HUMBLE.', 'Fake Love', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Broccoli (feat. Lil Yachty)'})"
frozenset({'Whatcha Say'}),"frozenset({'Replay', 'TiK ToK'})"
frozenset({'Whatever You Like'}),frozenset({'Yeah!'})
frozenset({'Where Ya At'}),"frozenset({'F*ck Up Some Commas', 'Jumpman', 'Broccoli (feat. Lil Yachty)', 'Antidote', 'Low Life', 'No Role Modelz'})"
"frozenset({'White Iverson', 'Antidote'})","frozenset({'Jumpman', 'No Role Modelz'})"
"frozenset({'White Iverson', 'HUMBLE.'})",frozenset({'Mask Off'})
"frozenset({'White Iverson', 'Jumpman'})","frozenset({'Broccoli (feat. Lil Yachty)', 'Antidote', 'No Role Modelz'})"
"frozenset({'White Iverson', 'Mask Off'})",frozenset({'HUMBLE.'})
frozenset({'White Iverson'}),"frozenset({'X (feat. Future)', 'Congratulations', ""I Don't Fuck With You"", '2 Phones', 'Trap Queen', 'Fake Love', 'Jumpman', 'F*ck Up Some Commas', 'Antidote', 'Tunnel Vision', 'The Hills', 'No Type', 'Mask Off', 'Back To Back', 'Wet Dreamz', 'goosebumps', 'Come Get Her', 'iSpy (feat. Lil Yachty)', 'Hotline Bling', 'No Role Modelz', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Caroline', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Swang', 'Father Stretch My Hands Pt. 1', '679 (feat. Remy Boyz)', 'Low Life', 'Chill Bill', 'HUMBLE.', 'Go Flex', 'Panda', 'Bounce Back', 'One Dance', 'XO TOUR Llif3', ""Don't""})"
frozenset({'Wild Thoughts'}),"frozenset({""I'm the One""})"
frozenset({'Work Out'}),frozenset({'No Role Modelz'})
frozenset({'Work from Home'}),frozenset({'Closer'})
frozenset({'Work'}),"frozenset({'Jumpman', 'Needed Me', 'Panda', 'One Dance', 'Broccoli (feat. Lil Yachty)'})"
frozenset({'Wyclef Jean'}),"frozenset({'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)'})"
"frozenset({'X (feat. Future)', 'Chill Bill'})","frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'X (feat. Future)', 'Fake Love'})","frozenset({'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)'})"
"frozenset({'X (feat. Future)', 'HUMBLE.'})","frozenset({'T-Shirt', 'Congratulations', 'Tunnel Vision', 'Mask Off', 'XO TOUR Llif3'})"
"frozenset({'X (feat. Future)', 'Mask Off'})","frozenset({'Congratulations', 'Tunnel Vision', 'You Was Right', 'T-Shirt', 'HUMBLE.', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'X (feat. Future)', 'Money Longer'})","frozenset({'Bounce Back', 'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'You Was Right'})"
"frozenset({'X (feat. Future)', 'No Heart'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'X (feat. Future)', 'Swang'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'X (feat. Future)', 'Tunnel Vision'})","frozenset({'Congratulations', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})"
"frozenset({'X (feat. Future)', 'goosebumps'})","frozenset({'Congratulations', 'Tunnel Vision', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
frozenset({'X (feat. Future)'}),"frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Butterfly Effect', 'DNA.', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'No Role Modelz', 'pick up the phone', 'Caroline', 'Fake Love', 'Money Longer', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Jumpman', 'Antidote', 'Tunnel Vision', 'Low Life', 'White Iverson', 'Both (feat. Drake)', 'Drowning (feat. Kodak Black)', 'Bank Account', 'Chill Bill', 'HUMBLE.', 'Deja Vu', 'No Heart', 'Mask Off', 'Bounce Back', 'goosebumps', 'One Night', 'Magnolia', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Bank Account', 'HUMBLE.'})","frozenset({'Mask Off', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Bank Account', 'Mask Off'})","frozenset({'HUMBLE.', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Bank Account'})","frozenset({'Congratulations', 'Tunnel Vision', 'DNA.', 'HUMBLE.', 'Mask Off', 'Butterfly Effect', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Butterfly Effect'})","frozenset({'T-Shirt', 'HUMBLE.', 'DNA.', 'Mask Off', 'goosebumps', 'Bank Account', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'DNA.', 'HUMBLE.', 'Mask Off'})","frozenset({'T-Shirt', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'DNA.', 'HUMBLE.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'T-Shirt', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'DNA.', 'Mask Off'})","frozenset({'T-Shirt', 'HUMBLE.', 'Congratulations', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'DNA.', 'T-Shirt', 'HUMBLE.'})",frozenset({'Mask Off'})
"frozenset({'XO TOUR Llif3', 'DNA.', 'T-Shirt', 'Mask Off'})",frozenset({'HUMBLE.'})
"frozenset({'XO TOUR Llif3', 'DNA.', 'T-Shirt'})","frozenset({'HUMBLE.', 'Mask Off'})"
"frozenset({'XO TOUR Llif3', 'DNA.', 'goosebumps'})","frozenset({'HUMBLE.', 'Mask Off'})"
"frozenset({'XO TOUR Llif3', 'DNA.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'Bank Account', 'Bad and Boujee (feat. Lil Uzi Vert)', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Butterfly Effect', 'Bounce Back', 'goosebumps', 'Magnolia', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Fake Love', 'Mask Off'})",frozenset({'HUMBLE.'})
"frozenset({'XO TOUR Llif3', 'Fake Love'})","frozenset({'Congratulations', 'Tunnel Vision', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'HUMBLE.', 'Fake Love'})",frozenset({'Mask Off'})
"frozenset({'XO TOUR Llif3', 'HUMBLE.', 'Mask Off'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'Caroline', 'Fake Love', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Tunnel Vision', 'Drowning (feat. Kodak Black)', 'Bank Account', 'Bounce Back', 'goosebumps', 'Magnolia', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'HUMBLE.', 'Swang'})","frozenset({'Mask Off', 'T-Shirt', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'HUMBLE.', 'Tunnel Vision'})","frozenset({'T-Shirt', 'Congratulations', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'HUMBLE.', 'goosebumps'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'DNA.', 'T-Shirt', 'Mask Off', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'HUMBLE.'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'rockstar', 'DNA.', 'Portland', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'No Role Modelz', 'pick up the phone', 'Caroline', 'Fake Love', 'Money Longer', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Rolex', 'Tunnel Vision', 'Unforgettable', 'Drowning (feat. Kodak Black)', 'Bank Account', 'Mask Off', 'Butterfly Effect', 'Bounce Back', 'goosebumps', 'Magnolia', ""I'm the One"", 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Magnolia', 'HUMBLE.'})",frozenset({'Mask Off'})
"frozenset({'XO TOUR Llif3', 'Magnolia', 'Mask Off'})",frozenset({'HUMBLE.'})
"frozenset({'XO TOUR Llif3', 'Magnolia'})","frozenset({'DNA.', 'Bank Account', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Mask Off', 'HUMBLE.', 'goosebumps'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'XO TOUR Llif3', 'Mask Off', 'Swang'})","frozenset({'T-Shirt', 'HUMBLE.', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Mask Off', 'Tunnel Vision'})","frozenset({'T-Shirt', 'HUMBLE.', 'Congratulations', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Mask Off', 'goosebumps'})","frozenset({'T-Shirt', 'HUMBLE.', 'Congratulations', 'Tunnel Vision', 'DNA.', 'iSpy (feat. Lil Yachty)', 'Bounce Back', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Mask Off'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'rockstar', 'DNA.', 'Portland', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'pick up the phone', 'Caroline', 'Fake Love', 'Money Longer', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Tunnel Vision', 'Unforgettable', 'Drowning (feat. Kodak Black)', 'Bank Account', 'HUMBLE.', 'Butterfly Effect', 'Bounce Back', 'goosebumps', 'Magnolia', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Money Longer'})","frozenset({'T-Shirt', 'HUMBLE.', 'Tunnel Vision', 'Mask Off', 'Bad and Boujee (feat. Lil Uzi Vert)', 'You Was Right'})"
"frozenset({'XO TOUR Llif3', 'Portland'})","frozenset({'Mask Off', 'T-Shirt', 'HUMBLE.', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Rolex'})",frozenset({'HUMBLE.'})
"frozenset({'XO TOUR Llif3', 'Swang'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'T-Shirt', 'DNA.'})","frozenset({'Mask Off', 'HUMBLE.', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'T-Shirt', 'HUMBLE.', 'Mask Off'})","frozenset({'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'DNA.', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'T-Shirt', 'HUMBLE.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'DNA.', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'T-Shirt', 'Mask Off'})","frozenset({'Congratulations', 'Tunnel Vision', 'DNA.', 'HUMBLE.', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'T-Shirt', 'Swang'})","frozenset({'HUMBLE.', 'Mask Off'})"
"frozenset({'XO TOUR Llif3', 'T-Shirt', 'Tunnel Vision'})","frozenset({'Mask Off', 'HUMBLE.', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'T-Shirt', 'goosebumps'})","frozenset({'HUMBLE.', 'Mask Off', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'T-Shirt'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'Portland', 'You Was Right', 'pick up the phone', 'Caroline', 'Fake Love', 'Money Longer', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Tunnel Vision', 'Drowning (feat. Kodak Black)', 'Bank Account', 'HUMBLE.', 'Mask Off', 'Butterfly Effect', 'Bounce Back', 'goosebumps', 'Magnolia', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'Tunnel Vision'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'Drowning (feat. Kodak Black)', 'Bank Account', 'You Was Right', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Fake Love', 'Bounce Back', 'goosebumps', 'Money Longer', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'XO TOUR Llif3', 'X (feat. Future)', 'Mask Off'})",frozenset({'HUMBLE.'})
"frozenset({'XO TOUR Llif3', 'X (feat. Future)'})","frozenset({'Congratulations', 'Tunnel Vision', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Bounce Back', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
